Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
AIRPURIFIERDRONE_NAME,MIR_SIKIL,MIR_SIKIL,MIR_SIKIL,MIR_SIKIL,MIR_SIKIL,MIR_SIKIL,MIR_SIKIL,MIR_SIKIL,弥尔_斯吉勒
ARTILLERYDRONE_NAME,MA,MA,MA,MA,MA,MA,MA,MA,玛
ARTILLERYSPOTTER_NAME,IGI_TUM,IGI_TUM,IGI_TUM,IGI_TUM,IGI_TUM,IGI_TUM,IGI_TUM,IGI_TUM,伊基_滕
ARTIFACTGUARDIAN_NAME,ZIR_AZAD,ZIR_AZAD,ZIR_AZAD,ZIR_AZAD,ZIR_AZAD,ZIR_AZAD,ZIR_AZAD,ZIR_AZAD,兹尔_阿扎得
BULLDRONE_NAME,GUDAM_G22,GUDAM_G22,GUDAM_G22,GUDAM_G22,GUDAM_G22,GUDAM_G22,GUDAM_G22,GUDAM_G22,古丹_G22
BULLDRONEBARRELS_NAME,G22_TURRET,G22_TURRET,G22_TURRET,G22_TURRET,G22_TURRET,G22_TURRET,G22_TURRET,G22_TURRET,G22_炮塔
BULLDRONELASER_NAME,G22_LASER,G22_LASER,G22_LASER,G22_LASER,G22_LASER,G22_LASER,G22_LASER,G22_LASER,G22_激光
BULLDRONEMISSILES_NAME,G22_MISSILEPOD,G22_MISSILEPOD,G22_MISSILEPOD,G22_MISSILEPOD,G22_MISSILEPOD,G22_MISSILEPOD,G22_MISSILEPOD,G22_MISSILEPOD,G22_火箭发射器
BULLDRONEFACE_NAME,G22_FASCIA,G22_FASCIA,G22_FASCIA,G22_FASCIA,G22_FASCIA,G22_FASCIA,G22_FASCIA,G22_FASCIA,G22_面部
CARRIERDRONE_NAME,A_IL,A_IL,A_IL,A_IL,A_IL,A_IL,A_IL,A_IL,阿_伊勒
CARRIERDRONEBABY_NAME,NU,NU,NU,NU,NU,NU,NU,NU,努
CLOAKINGDRONE_NAME,UTU_SD7,UTU_SD7,UTU_SD7,UTU_SD7,UTU_SD7,UTU_SD7,UTU_SD7,UTU_SD7,乌图_SD7
DISPENSERDRONE_NAME,KIMU,KIMU,KIMU,KIMU,KIMU,KIMU,KIMU,KIMU,吉穆
EMPMINE_NAME,SAG_GUL,SAG_GUL,SAG_GUL,SAG_GUL,SAG_GUL,SAG_GUL,SAG_GUL,SAG_GUL,萨哥_古勒
EMPMINEMETA_NAME,SAG_GUL_2,SAG_GUL_2,SAG_GUL_2,SAG_GUL_2,SAG_GUL_2,SAG_GUL_2,SAG_GUL_2,SAG_GUL_2,萨哥_古勒_2
