Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
START_TEXT,START,DÉMARRER,START,INIZIA,INICIAR,INICIAR,НАЧАТЬ ИГРУ,スタート,开始游戏
OPTIONS_TEXT,OPTIONS,OPTIONS,OPTIONEN,OPZIONI,OPÇÕES,OPCIONES,НАСТРОЙКИ,オプション,游戏选项
SPEEDRUN_TEXT,SPEEDRUN,SPEEDRUN,SCHNELLDURCHLAUF,SPEEDRUN,SPEEDRUN,CONTRARRELOJ,БЫСТРОЕ ПРОХОЖДЕНИЕ,スピードラン,速通模式
KIOSK_DEMO,Demo,Démo,Demo,Demo,Demonstraçäo,Demo,Демо,デモ,试玩版本
FMOD_CREDITLINE,Made with FMOD Studio by Firelight Technologies Pty Ltd.,Conçu avec FMOD Studio par Firelight Technologies Pty Ltd.,Erstellt mit FMOD Studio von Firelight Technologies Pty Ltd.,Realizzato con FMOD Studio di Firelight Technologies Pty Ltd.,Feito com FMOD Studio de Firelight Technologies Pty Ltd.,Hecho con FMOD Studio de Firelight Technologies Pty Ltd.,Сделано на FMOD Studio от Firelight Technologies Pty Ltd.,Made with FMOD Studio by Firelight Technologies Pty Ltd.,采用Firelight Technologies Pty Ltd.的FMOD Studio制作
COPYRIGHT,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC
COMPANY_NAME,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC
WEBSITE,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com
TWITTER,Follow on Twitter! @AxiomVerge,Suivez-nous sur Twitter ! @AxiomVerge,Folge uns auf Twitter! @AxiomVerge,Seguici su Twitter! @AxiomVerge,Siga-nos no Twitter! @AxiomVerge,¡Síguenos en Twitter! @AxiomVerge,Читайте наш Twitter! @AxiomVerge,Twitter : @AxiomVerge,官方Twitter账号：@AxiomVerge
FACEBOOK,Follow on Facebook! fb.com/AxiomVerge,Suivez-nous sur Facebook ! fb.com/AxiomVerge,Folge uns auf Facebook! fb.com/AxiomVerge,Seguici su Facebook! fb.com/AxiomVerge,Siga-nos no Facebook! fb.com/AxiomVerge,¡Síguenos en Facebook! fb.com/AxiomVerge,Подписывайтесь на наш Facebook! fb.com/AxiomVerge,Facebook : fb.com/AxiomVerge,官方Facebook页面：fb.com/AxiomVerge
LOAD_GAME,LOAD GAME,CHARGER PARTIE,SPIEL LADEN,CARICA PARTITA,CARREGAR JOGO,CARGAR PARTIDA,ЗАГРУЗИТЬ ИГРУ,ロードゲーム,加载游戏
COPY_FROM_FILE,COPY FROM?,COPIER DE ?,KOPIEREN VON?,COPIARE DA?,COPIAR QUAL?,¿COPIAR DESDE?,КОПИРОВАТЬ ИЗ?,コピーするデータを選択,复制这个？
COPY_TO_FILE,COPY TO?,COPIER VERS ?,KOPIEREN NACH?,COPIARE SU?,COPIAR AONDE?,¿COPIAR A?,КОПИРОВАТЬ В?,コピー先を選択,复制到这里？
DELETE_FILE,DELETE WHICH?,QUE SUPPRIMER ?,WELCHES LÖSCHEN?,QUALE ELIMINARE?,APAGAR QUAL?,¿ELIMINAR CUÁL?,КАКОЙ УДАЛИТЬ?,削除するデータを選択,删除哪一个？
ITEM_PERCENT_LABEL,ITEM,OBJET,GEGENSTAND,OGGETTO,ITEM,OBJETOS,ПРЕДМЕТ,アイテム,物品
SCREENS_LABEL,MAP,CARTE,KARTE,MAPPA,MAPA,MAPA,КАРТА,マップ,地图
NEW_GAME,New Game,Nouvelle partie,Neues Spiel,Nuova partita,Novo jogo,Nueva partida,Новая игра,ニューゲーム,新游戏
COPY,COPY,COPIER,KOPIEREN,COPIA,COPIAR,COPIAR,КОПИРОВАТЬ,コピー,复制存档
CLEAR,DELETE,SUPPRIMER,LÖSCHEN,ELIMINA,APAGAR,ELIMINAR,УДАЛИТЬ,削除,删除存档
EXIT,EXIT,QUITTER,BEENDEN,ESCI,SAIR,SALIR,ВЫХОД,終了,返回
SAVE_HINT,Press UP to save.,Appuyez sur HAUT pour sauvegarder.,Drücke HOCH zum Speichern.,Premi SU per salvare.,Aperte CIMA para salvar.,Oprime ARRIBA para guardar.,"Нажмите ВВЕРХ, чтобы сохраниться.",上を押してセーブ。,按“上”保存。
SAVE_COMPLETED,Game saved.,Partie sauvegardée.,Spielstand gespeichert.,Partita salvata.,Jogo salvo.,Partida guardada.,Игра сохранена.,セーブしました。,存档成功。
SAVE_FAILED,Save failed.,Échec de la sauvegarde.,Speichern fehlgeschlagen.,Salvataggio non riuscito.,Erro ao salvar.,No se pudo guardar.,Сохранение не выполнено.,セーブに失敗しました。,存档失败。
