Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
PREVIOUS_LABEL,Previous,Précédent,Vorherige,Precedente,Anterior,Anterior,Предыдущий,前,前一项
NEXT_LABEL,Next,Suivant,Nächste,Successivo,Seguinte,Siguiente,Следующий,次,后一项
LEVEL_LABEL,Lvl,Niv.,Lvl,Lvl,Nv.,Nv.,Ур.,レベル,等级
FUNCTION_LABEL,Function,Fonction,Funktion,Funzione,Função,Función,Функция,機能,功能
ADDRESS_LABEL,Addr,Adresse,Anwahl,Indirizzo,Endereço,Dirección,Адрес,アドレス,地址
INJECT_LABEL,Inject,Injecter,Injizieren,Inietta,Injetar,Inyección,Впрыск,インジェクト,注入
COST_LABEL,Cost,Coût,Kosten,Costo,Custo,Costo,Стоимость,コスト,消耗
HACK_ACTIVATE,%_ACTIVATE@,%_ACTIVER@,%_AKTIVIEREN@,%_ATTIVA@,%_ATIVAR@,%_ACTIVAR@,%_АКТИВАЦИЯ@,%_アクティベーション@,%_启动@
HACK_ACTIVATE_DESC,Activate/Enable/Power On target,Active/Allume cible,Ziel aktivieren/freigeben/einschalten,Attiva/abilita/accende il bersaglio,Ativa/Habilita/Liga o objeto alvo,Activa o enciende al objetivo.,Активирует/Включает/Врубает цель,ターゲットをアクティブ化／有効／起動,启动/启用/打开目标
HACK_ALLEGIANCE,%_ALLEGNCE$,%_ALLEGEANCE$,%_VERBÜNDETE$,%_ALLEANZA$,%_ALIANÇA$,%_LEALTAD$,%_АЛЬНС$,%_味方化$,%_战友$
HACK_ALLEGIANCE_DESC,Target becomes an ally,La cible devient un allié,Ziel wird ein Verbündeter,Il bersaglio diventa alleato,O alvo se torna um aliado,El objetivo se convierte en un aliado.,Цель становится союзником,ターゲットを味方にする,目标成为友方
HACK_ATTRACT,%_ATTRACT_$,%_ATTIRE_$,%_ANZIEHEN_$,%_ATTIRA_$,%_ATRAIR_$,%_ATRAER_$,%_ВЛЕЧЕНИЕ_$,%_追跡_$,%_追逐_$
HACK_ATTRACT_DESC,Target becomes attracted to others,La cible est attirée vers les autres,Ziel wird von anderen angezogen,Il bersaglio viene attratto da altri,O alvo é atraído por outros,El objetivo se ve atraído por otros.,Цель начинает притягиваться к остальным,ターゲットが他の敵を追いかける,目标受其他敌方吸引
HACK_ATTRACTOR,%_ATTRCTOR$,%_AIMANT$,%_ANZIEHER$,%_ATTRTTRE$,%_ATRATOR$,%_ATRCCION$,%_ПРВЛЕЧЕНИЕ$,%_引きつけ_$,%_吸引$
HACK_ATTRACTOR_DESC,Target attracts others towards it,La cible attire les autres vers elle,Ziel zieht andere an,Il bersaglio attrae altri verso di sé,O alvo atrai outros em sua direção,El objetivo atrae a otros.,Цель начинает притягивать к себе,ターゲットが他の敵を引きつける,目标吸引其他敌方
HACK_BACKWARDS,%_BACKWRDS$,%_ARRIERE$,%_RÜCKWÄRTS$,%_SPALLE$,%_COSTASS$,%_ATRAS$,%_ЗДНПЕРЕД$,%_後方$,%_向后$
HACK_BACKWARDS_DESC,Target always faces backwards,La cible fait face à l'arrière,Ziel schaut immer nach hinten,Il bersaglio è sempre girato di spalle,O alvo está sempre de costas,El objetivo siempre mira hacia atrás.,Цель всегда стоит спиной,ターゲットが常に後ろを向いく,目标移动的方向与其正面朝向相反。
HACK_BLIND,%_BLIND___$,%_AVEUGLE___$,%_BLIND___$,%_CIECO___$,%_CEGO___$,%_CEGAR___$,%_СЛЕПОТА___$,%_ブラインド___$,%_盲目___$
HACK_BLIND_DESC,Target is blinded,La cible est aveuglée,Ziel ist geblendet,Il bersaglio è accecato,O alvo fica cego,Ciega al objetivo.,Цель ослеплена,ターゲットのセンサーが見えなくなる,目标无法判断你在哪里。
HACK_CLOSE,%_CLOSE___@,%_FERMER___@,%_SCHLIESSEN___@,%_FERMO___@,%_FECHAR___@,%_CRRAR__@,%_ЗАКРЫТЬ___@,%_クローズ___@,%_关闭___@
HACK_CLOSE_DESC,Target closes/seals/shuts,La cible se ferme/scelle/éteint,Ziel schließt/versiegelt/versperrt,Il bersaglio si chiude/è sigillato/si ferma,Fecha/Sela/Obstrui o alvo,El objetivo se cierra o sella.,Цель закрывается/запечатывается/захлопывается,"ターゲットをクローズ／封印／
シャットダウン",目标关闭/封锁
HACK_DETONATE,%_DETONATE@,%_DETONATION@,%_DETONIEREN@,%_DETONA@,%_DETONAR@,%_DETONAR@,%_ВЗРЫВ@,%_爆破@,%_引爆@
HACK_DETONATE_DESC,Target detonates/explodes,La cible détonne/explose,Ziel detoniert/explodiert,Il bersaglio detona/esplode,O alvo detona/explode,El objetivo detona o explota.,Цель детонирует/взрывается,ターゲットを破裂／爆発させる,目标爆炸
HACK_DISABLE,%_DISABLE_T,%_DESACTIVE_T,%_DEAKTIVIEREN_T,%_DISATTIVA_T,%_DESABILITAR_T,%_APAGAR_O,%_ОТКЛЧН_T,%_無効化_T,%_禁用_T
HACK_DISABLE_DESC,Disable/Deactivate/Power Off target,Désactive/éteint cible,Ziel sperren/deaktivieren/ausschalten,Disattiva/disabilita/spegne il bersaglio,Desabilita/Desativa/Desliga o alvo,Apaga o desactiva al objetivo.,Отключает/Деактивирует/Вырубает цель,"ターゲットを非アクティブ化／無効／
シャットダウン",关闭/停用目标
HACK_DISORIENT,%_DISORINT$,%_DESORIENT$,%_DESORIENTIEREN$,%_DISORIENTA$,%_DESORIENTAR$,%_DSORIENT$,%_ДЕЗОРИЕНТЦ$,%_混乱$,%_迷失方向$
HACK_DISORIENT_DESC,Target becomes confused,La cible est désorientée,Ziel wird verwirrt,Il bersaglio è disorientato,O alvo se torna confuso,Confunde al objetivo.,Цель сбивается с толку,ターゲットを混乱させる,目标迷失方向
HACK_DROPHEALTH,%_EMITHLTH$,%_EMETVIE$,%_AUSSENDEN$,%_EMETVITA$,%_EMITIR$,%_EMITRSLD$,%_ИСПСКЗДРВ$,%_治療$,%_治疗$
HACK_DROPHEALTH_DESC,Target emits healing nanites,La cible émet des nanorobots de soin,Ziel sendet heilende Naniten aus,Il bersaglio emette naniti curativi,O alvo emite nanites de cura,El objetivo emite nanobots curativos.,Цель испускает целебные нанинты,"ターゲットが治療ナノテクノロジーを
放出する",目标施放治疗纳米机器人
HACK_FOLLOW,%_TETHER__%,%_SUIVRE__%,%_LEINE__%,%_SEGUE__%,%_ADERIR__%,%_UNION__%,%_ПУТЫ__%,%_フォロー__%,%_跟随__%
