Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
START_TEXT,START,DÉMARRER,START,INIZIA,INICIAR,INICIAR,НАЧАТЬ ИГРУ,시작,开始游戏
OPTIONS_TEXT,OPTIONS,OPTIONS,OPTIONEN,OPZIONI,OPÇÕES,OPCIONES,НАСТРОЙКИ,옵션,游戏选项
SPEEDRUN_TEXT,SPEEDRUN,SPEEDRUN,SCHNELLDURCHLAUF,SPEEDRUN,SPEEDRUN,CONTRARRELOJ,БЫСТРОЕ ПРОХОЖДЕНИЕ,스피드런,速通模式
KIOSK_DEMO,Demo,Démo,Demo,Demo,Demonstraçäo,Demo,Демо,데모,试玩版本
FMOD_CREDITLINE,Made with FMOD Studio by Firelight Technologies Pty Ltd.,Conçu avec FMOD Studio par Firelight Technologies Pty Ltd.,Erstellt mit FMOD Studio von Firelight Technologies Pty Ltd.,Realizzato con FMOD Studio di Firelight Technologies Pty Ltd.,Feito com FMOD Studio de Firelight Technologies Pty Ltd.,Hecho con FMOD Studio de Firelight Technologies Pty Ltd.,Сделано на FMOD Studio от Firelight Technologies Pty Ltd.,Firelight Technologies Pty Ltd의 FMOD Studio로 제작되었습니다.,采用Firelight Technologies Pty Ltd.的FMOD Studio制作
COPYRIGHT,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC,@2021 THOMAS HAPP GAMES LLC
COMPANY_NAME,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC,THOMAS HAPP GAMES LLC
WEBSITE,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com,www.AxiomVerge.com
TWITTER,Follow on Twitter! @AxiomVerge,Suivez-nous sur Twitter ! @AxiomVerge,Folge uns auf Twitter! @AxiomVerge,Seguici su Twitter! @AxiomVerge,Siga-nos no Twitter! @AxiomVerge,¡Síguenos en Twitter! @AxiomVerge,Читайте наш Twitter! @AxiomVerge,트위터(@AxiomVerge)를 팔로우하세요!,官方Twitter账号：@AxiomVerge
FACEBOOK,Follow on Facebook! fb.com/AxiomVerge,Suivez-nous sur Facebook ! fb.com/AxiomVerge,Folge uns auf Facebook! fb.com/AxiomVerge,Seguici su Facebook! fb.com/AxiomVerge,Siga-nos no Facebook! fb.com/AxiomVerge,¡Síguenos en Facebook! fb.com/AxiomVerge,Подписывайтесь на наш Facebook! fb.com/AxiomVerge,페이스북(fb.com/AxiomVerge)을 팔로우하세요!,官方Facebook页面：fb.com/AxiomVerge
LOAD_GAME,LOAD GAME,CHARGER PARTIE,SPIEL LADEN,CARICA PARTITA,CARREGAR JOGO,CARGAR PARTIDA,ЗАГРУЗИТЬ ИГРУ,게임 불러오기,加载游戏
COPY_FROM_FILE,COPY FROM?,COPIER DE ?,KOPIEREN VON?,COPIARE DA?,COPIAR QUAL?,¿COPIAR DESDE?,КОПИРОВАТЬ ИЗ?,어디에서 복사할까요?,复制这个？
COPY_TO_FILE,COPY TO?,COPIER VERS ?,KOPIEREN NACH?,COPIARE SU?,COPIAR AONDE?,¿COPIAR A?,КОПИРОВАТЬ В?,어디로 복사할까요?,复制到这里？
DELETE_FILE,DELETE WHICH?,QUE SUPPRIMER ?,WELCHES LÖSCHEN?,QUALE ELIMINARE?,APAGAR QUAL?,¿ELIMINAR CUÁL?,КАКОЙ УДАЛИТЬ?,어떤 것을 삭제할까요?,删除哪一个？
ITEM_PERCENT_LABEL,ITEM,OBJET,GEGENSTAND,OGGETTO,ITEM,OBJETOS,ПРЕДМЕТ,아이템,物品
SCREENS_LABEL,MAP,CARTE,KARTE,MAPPA,MAPA,MAPA,КАРТА,지도,地图
NEW_GAME,New Game,Nouvelle partie,Neues Spiel,Nuova partita,Novo jogo,Nueva partida,Новая игра,새 게임,新游戏
COPY,COPY,COPIER,KOPIEREN,COPIA,COPIAR,COPIAR,КОПИРОВАТЬ,복사,复制存档
CLEAR,DELETE,SUPPRIMER,LÖSCHEN,ELIMINA,APAGAR,ELIMINAR,УДАЛИТЬ,삭제,删除存档
EXIT,EXIT,QUITTER,BEENDEN,ESCI,SAIR,SALIR,ВЫХОД,종료,返回
SAVE_HINT,Press UP to save.,Appuyez sur HAUT pour sauvegarder.,Drücke HOCH zum Speichern.,Premi SU per salvare.,Aperte CIMA para salvar.,Oprime ARRIBA para guardar.,"Нажмите ВВЕРХ, чтобы сохраниться.",위 버튼을 눌러 저장하세요.,按“上”保存。
SAVE_COMPLETED,Game saved.,Partie sauvegardée.,Spielstand gespeichert.,Partita salvata.,Jogo salvo.,Partida guardada.,Игра сохранена.,게임이 저장되었습니다.,存档成功。
SAVE_FAILED,Save failed.,Échec de la sauvegarde.,Speichern fehlgeschlagen.,Salvataggio non riuscito.,Erro ao salvar.,No se pudo guardar.,Сохранение не выполнено.,저장에 실패했습니다.,存档失败。
DELETE_CONFIRMATION,Are you sure you want to permanently delete this save?,Voulez-vous vraiment supprimer définitivement cette sauvegarde ?,Möchtest du diesen Spielstand wirklich endgültig löschen?,Vuoi davvero eliminare questo salvataggio?,Tem certeza de que deseja apagar permanentemente esses dados salvos?,¿Confirmas que quieres eliminar para siempre esta partida?,"Вы уверены, что хотите полностью удалить сохранение?",이 저장 데이터를 영구적으로 삭제하시겠습니까?,确定删除这个存档？一经删除，无法恢复。
COPY_CONFIRMATION,Are you sure you want to overwrite this save?,Voulez-vous vraiment écraser cette sauvegarde ?,Möchtest du diesen Spielstand wirklich überschreiben?,Vuoi davvero sovrascrivere questo salvataggio?,Tem certeza de que deseja substituir esses dados salvos?,¿Confirmas que quieres sobrescribir esta partida guardada?,"Вы уверены, что хотите переписать это сохранение?",이 저장 데이터를 덮어쓰시겠습니까?,确定覆盖这个存档？一经覆盖，无法恢复。
CHOOSE_DIFFICULTY,Choose Difficulty,Choisissez la difficulté,Schwierigkeitsstufe wählen,Scegli difficoltà,Escolha uma dificuldade,Elige la dificultad,Выберите уровень сложности,난이도 선택,选择难度
DIFFICULTY_NORMAL,Normal,Normal,Normal,Normale,Normal,Normal,Нормально,보통,正常
DIFFICULTY_HARD,Hard,Difficile,Schwer,Difficile,Difícil,Difícil,Сложно,어려움,困难
OPTIONS_TITLE,OPTIONS,OPTIONS,OPTIONEN,OPZIONI,OPÇÕES,OPCIONES,НАСТРОЙКИ,옵션,游戏选项
OPTIONS_CONTROLLER_CONFIG_TITLE,GAMEPAD CONFIGURATION,CONFIGURATION MANETTE,GAMEPAD-EINSTELLUNGEN,CONFIGURAZIONE GAMEPAD,CONFIGURAÇÃO DO CONTROLE,CONFIGURACIÓN DE CONTROL,НАСТРОЙКИ КОНТРОЛЛЕРА,게임패드 설정,手柄键位设置
OPTIONS_KEYBOARD_CONFIG_TITLE,KEYBOARD CONFIGURATION,CONFIGURATION CLAVIER,TASTATUR-EINSTELLUNGEN,CONFIGURAZIONE TASTIERA,CONFIGURAÇÃO DO TECLADO,CONFIGURACIÓN DE TECLADO,НАСТРОЙКИ КЛАВИАТУРЫ,키보드 설정,键盘键位设置
OPTIONS_WEAPON_SELECT_UI_TITLE,WEAPON SELECT UI STYLE,INTERFACE DE SÉLECTION DES ARMES,WAFFENAUSWAHL INTERFACE-STIL,STILE UI SELEZIONE ARMA,ESTILO DA INTERFACE DE SELEÇÃO DE ARMAS,ESTILO DE INTERFAZ DE SELECCIÓN DE ARMAS,СТИЛЬ МЕНЮ ВЫБОРА ОРУЖИЯ,무기 선택 UI 스타일,武器选择界面样式
OPTIONS_WEAPON_SELECT_LINEAR,Linear,Linéaire,Linear,Lineare,Linear,Lineal,Линейный,선형,线性
OPTIONS_WEAPON_SELECT_RING,Ring,Radiale,Kreis,Circolare,Circular,Circular,Радиальный,링형,循环
,,,,,,,,,
OPTIONS_LANGUAGE_TITLE,LANGUAGE,LANGUE,SPRACHE,LINGUA,IDIOMA,IDIOMA,ЯЗЫК,언어,语言
OPTIONS_ENGLISH,English,English,English,English,English,English,English,영어,English
OPTIONS_FRENCH,Français,Français,Français,Français,Français,Français,Français,프랑스어,Français
OPTIONS_GERMAN,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,독일어,Deutsch
OPTIONS_ITALIAN,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,이탈리아어,Italiano
OPTIONS_PORTUGUESE,Português,Português,Português,Português,Português,Portugués,Português,포르투갈어,Português
OPTIONS_SPANISH,Español,Español,Español,Español,Español,Español,Español,스페인어,Español
OPTIONS_RUSSIAN,Русский,Русский,Русский,Русский,Русский,Русский,Русский,러시아어,Русский
OPTIONS_JAPANESE,日本語,日本語,日本語,日本語,日本語,日本語,日本語,한국어,日本語
OPTIONS_CHINESE,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,중국어(간체),简体中文
SPEEDRUN_TITLE,SPEEDRUN MODE,MODE SPEEDRUN,SCHNELLDURCHLAUF-MODUS,MODALITÀ SPEEDRUN,MODO SPEEDRUN,MODO CONTRARRELOJ,РЕЖИМ БЫСТРОГО ПРОХОЖДЕНИЯ,스피드런 모드,速通模式
SPEEDRUN_GO,START NEW,NOUVELLE PARTIE,STARTE NEU,NUOVA PARTITA,INICIAR NOVO JOGO,EMPEZAR DE NUEVO,НАЧАТЬ ЗАНОВО,새로 시작,开始新游戏
SPEEDRUN_CONTINUE,CONTINUE,CONTINUER,WEITER,CONTINUA,CONTINUAR,CONTINUAR,ПРОДОЛЖИТЬ,계속하기,继续游戏
SPEEDRUN_DIFFICULTY,DIFFICULTY,DIFFICULTÉ,SCHWIERIGKEIT,DIFFICOLTÀ,DIFICULDADE,DIFICULTAD,СЛОЖНОСТЬ,난이도,难度
SPEEDRUN_CHECKPOINTS,CHECKPOINT HUD,HUD POINT DE CONTRÔLE,CHECKPUNKT HUD,HUD CHECKPOINT,AVISO DE PONTO DE CONTROLE,INTERFAZ DE PUNTO DE CONTROL,ЗНАЧОК ЧЕКПОИНТА,CHECKPOINT HUD,检查点HUD
ON,On,Oui,An,Sì,Ligado,Sí,Вкл.,On,开
OFF,Off,Non,Aus,No,Desligado,No,Выкл.,Off,关
SPEEDRUN_BEST_TIME,Best Time:,Meilleur temps :,Beste Zeit:,Tempo migliore:,Melhor tempo:,Mejor tiempo:,Лучшее время:,Best Time:,最短时间：
SPEEDRUN_LAST_TIME,Last Time:,Dernier temps :,Neueste Zeit:,Ultimo tempo:,Último tempo:,Último tiempo:,Последнее время:,Last Time:,上一次的时间：
SPEEDRUN_DESCRIPTION,"Experts only!
 
This is a special mode for competitive streamers who complete the game in a single sitting.
 
It eliminates dialogue, cutscenes, and randomized content, and provides an on-screen timer.","Experts uniquement !
 
Ce mode spécial est réservé aux streamers compétitifs qui terminent le jeu en une seule partie.
 
Il supprime les dialogues, les cinématiques, le contenu aléatoire et affiche un chrono à l'écran.","Nur für Experten!
 
Er verzichtet auf Dialoge, Zwischensequenzen und Zufallsinhalte und bietet eine Bildschirm-Zeitanzeige.","Solo per esperti!
 
Questa è una modalità speciale per streamer competitivi che completano il gioco in una singola seduta di gioco.
  
Elimina dialoghi, filmati e contenuti casuali e fornisce un timer a schermo.","Só para experientes!
  
Este é um modo especial para jogadores que completam o jogo em uma única partida.
 
Este modo remove os diálogos, as cenas e o conteúdo aleatório, e mostra um cronômetro na tela.","¡Solo para especialistas!
  
Este es un modo especial para streamers que quieran completar el juego de una sola vez para competir.
  
Elimina los diálogos, las escenas de historia y el contenido aleatorio, y agrega un cronómetro a la pantalla.","Только для экспертов!
 
Это специальный соревновательный режим для стримеров, которые могут пройти игру за один заход.
 
В нем отсутствуют диалоги, ролики и случайно распределяемый контент, а также здесь присутствует экранный таймер.","Experts only!
 
This is a special mode for competitive streamers who complete the game in a single sitting.
 
It eliminates dialogue, cutscenes, and randomized content, and provides an on-screen timer.","仅限高玩！

这个特殊模式专为富有竞技精神的主播设计，需要玩家一口气通关。

这个模式没有对话、过场动画和随机内容，另外游戏画面内置了一个计时器。"
SPEEDRUN_DESCRIPTION_PS4,Use the Share button to begin streaming your run!,Utilisez le bouton Partager pour commencer à diffuser votre run !,"Benutze die Teilen-Schaltfläche, um deinen Lauf zu streamen!",Usa il tasto Condividi per iniziare a trasmettere la tua corsa in streaming!,Use o botão Compartilhar para começar a transmitir seu jogo!,¡Usa el botón SHARE para transmitir tu partida!,"Используйте кнопку ""Поделиться"", чтобы начать стриминг вашего прохождения!",Use the Share button to begin streaming your run!,点击“分享”按钮，即可开始直播你的游戏过程！
LEADERBOARDS_TITLE,Leaderboards,Classements,Bestenlisten,Classifiche,Placares,Tablas de clasificación,Таблицы рекордов,Leaderboards,排行榜
LEADERBOARDS_GLOBAL,Global,Mondial,Global,Global,Global,Global,Весь мир,Global,全球前十
LEADERBOARDS_GLOBAL_AROUND_USER,Global Around User,Global Around User,Global Around User,Global Around User,Global Around User,Global alrededor de ti,Локально,Global Around User,全球相邻排名
LEADERBOARDS_FRIENDS_ONLY,Friends-Only,Amis uniquement,Nur Freunde,Solo amici,Apenas amigos,Solo amigos,Только друзья,Friends-Only,好友
LEADERBOARDS_ANY_PERCENT,Any %,% indifférent,Beliebig %,Qualsiasi %,Qualquer %,Any%,Любой %,Any %,任意%
LEADERBOARDS_100_PERCENT,100 %,100%,100 %,100%,100 %,100%,100 %,100 %,100%
