Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
SKILLCATEGORY_PHYSIOLOGY_NAME,Physiology,Physiologie,Physiologie,Fisiologia,Fisiologia,Fisiología,Физиология,신체 강화,生理
SKILLCATEGORY_PHYSIOLOGY_DESCRIPTION,Upgrade your body and physical attributes.,Améliore vos attributs physiques et corporels.,Verbessere deinen Körper und deine physischen Eigenschaften.,Migliora i tuoi attributi fisici e corporali.,Aprimora seu corpo e atributos físicos.,Mejora tus atributos físicos.,Улучшение вашего тела и физических возможностей.,신체 능력과 육체적 속성을 강화합니다.,提升你的生理机能与属性。
SKILL_HEALTH_NAME,Health,Santé,Gesundheit,Salute,Saúde,Salud,Здоровье,체력,生命
SKILL_HEALTH_DESCRIPTION,Adds an additional 50 health points.,Rajoute 50 points de vie supplémentaires.,Fügt zusätzliche 50 Gesundheitspunkte hinzu.,Aggiunge 50 punti vita supplementari.,Adiciona 50 pontos de saúde.,Agrega 50 puntos de salud adicionales.,Добавляет дополнительные 50 очков здоровья.,체력 포인트 50을 추가합니다.,生命额外增加50点。
SKILL_STAMINA_NAME,Stamina,Endurance,Ausdauer,Resistenza,Vigor,Resistencia,Выносливость,스태미나,体力
SKILL_STAMINA_DESCRIPTION,Adds an additional bar of stamina.,Rajoute une barre d'endurance supplémentaire.,Fügt einen zusätzlichen Balken Ausdauer hinzu.,Aggiunge una barra di resistenza supplementare.,Adiciona outra barra de vigor.,Agrega una barra de resistencia adicional.,Добавляет дополнительное деление выносливости.,스태미나 게이지를 한 칸 추가합니다.,额外增加一个体力条。
SKILL_NANOCLOUDSPEED_NAME,Nanite Cloud Speed,Rapidité du nuage de nanorobots,Nanitenwolken-Geschwindigkeit,Velocità della nuvola di naniti,Velocidade da Nuvem de Nanite,Velocidad de nube de nanobots,Скорость облака нанитов,나나이트 클라우드 속도,纳米云态速度
SKILL_NANOCLOUDSPEED_DESCRIPTION,Increases the speed you move in nanite cloud form.,Augmente votre vitesse de déplacement sous forme de nuage de nanorobots.,"Erhöht die Geschwindigkeit, mit der du dich in der Nanitenwolkenform bewegst.",Aumenta la velocità di movimento quando sei in forma di nuvola di naniti.,Aumenta a velocidade de movimento na forma de nuvem de nanite.,Aumenta tu velocidad en forma de nube de nanobots.,Увеличивает вашу скорость передвижения в виде облака нанитов,나나이트 클라우드 상태일 때의 이동 속도를 증가시킵니다.,你的纳米云状态移动速度提升。
,,,,,,,,,
SKILLCATEGORY_COMBAT_NAME,Combat,Combat,Kampf,Combattimento,Combate,Combate,Боевые качества,전투,战斗
SKILLCATEGORY_COMBAT_DESCRIPTION,Upgrade your attack attributes.,Améliore vos attributs offensifs.,Verbessere deine Angriffsattribute.,Potenzia gli attributi di attacco.,Aprimora seus atributos de ataque.,Mejora tus atributos de ataque.,Улучшение ваших боевых качеств.,공격 능력치를 강화합니다.,提升你的攻击属性。
SKILL_MELEEDAMAGE_NAME,Melee Damage,Dégâts en mêlée,Nahkampf-Schaden,Danno in mischia,Dano Corpo a Copro,Daño cuerpo a cuerpo,Урон ближнего боя,근접 공격력,近战伤害
SKILL_MELEEDAMAGE_DESCRIPTION,Increases damage with a handheld weapon,Augmente les dégâts avec une arme portative,Erhöht den Schaden mit einer Handwaffe.,Aumenta il danno con un'arma portatile.,Aumenta o dano causado por armas brancas.,Aumenta el daño con armas de mano.,Повышает урон от оружия ближнего боя.,손에 쥐는 무기의 근접 공격력을 증가시킵니다.,提升一件手持武器的伤害。
SKILL_MELEESPEED_NAME,Melee Speed,Vitesse en mêlée,Nahkampf-Geschwindigkeit,Velocità in mischia,Velocidade de Corpo a Corpo,Velocidad cuerpo a cuerpo,Скорость ближнего боя,근접 속도,近战速度
SKILL_MELEESPEED_DESCRIPTION,Increases your attack speed,Augmente votre vitesse d'attaque,Erhöht dein Angriffstempo.,Aumenta la tua velocità d'attacco.,Aumenta sua velocidade de ataque.,Aumenta tu velocidad de ataque.,Повышает скорость вашей атаки.,근접 공격 속도를 증가시킵니다.,提升你的攻击速度。
SKILL_RANGEDDAMAGE_NAME,Ranged Damage,Dégâts à distance,Fernkampf-Schaden,Danno a distanza,Dano à Distância,Daño a distancia,Урон при стрельбе,원거리 공격력,远程伤害
SKILL_RANGEDDAMAGE_DESCRIPTION,Increases damage with a projectile weapon,Augmente les dégâts avec une arme à projectiles,Erhöht den Schaden mit einer Projektilwaffe.,Aumenta il danno con un'arma a proiettili.,Aumenta o dano causado por projéteis.,Aumenta el daño con armas de proyectiles.,Повышает урон от оружия дальнего боя.,투사체 무기의 원거리 공격력을 증가시킵니다.,提升一件远程武器的伤害。
SKILL_RANGEDSPEED_NAME,Projectile Speed,Vitesse des projectiles,Projektil-Geschwindigkeit,Velocità proiettili,Velocidade de Projétil,Velocidad de proyectiles,Скорость снаряда,투사체 속도,远程速度
