Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
PREVIOUS_LABEL,Previous,Précédent,Vorherige,Precedente,Anterior,Anterior,Предыдущий,이전,前一项
NEXT_LABEL,Next,Suivant,Nächste,Successivo,Seguinte,Siguiente,Следующий,다음,后一项
LEVEL_LABEL,Lvl,Niv.,Lvl,Lvl,Nv.,Nv.,Ур.,레벨,等级
FUNCTION_LABEL,Function,Fonction,Funktion,Funzione,Função,Función,Функция,기능,功能
ADDRESS_LABEL,Addr,Adresse,Anwahl,Indirizzo,Endereço,Dirección,Адрес,주소,地址
INJECT_LABEL,Inject,Injecter,Injizieren,Inietta,Injetar,Inyección,Впрыск,주입,注入
COST_LABEL,Cost,Coût,Kosten,Costo,Custo,Costo,Стоимость,비용,消耗
HACK_ACTIVATE,%_ACTIVATE@,%_ACTIVER@,%_AKTIVIEREN@,%_ATTIVA@,%_ATIVAR@,%_ACTIVAR@,%_АКТИВАЦИЯ@,%_ACTIVATE@,%_启动@
HACK_ACTIVATE_DESC,Activate/Enable/Power On target,Active/Allume cible,Ziel aktivieren/freigeben/einschalten,Attiva/abilita/accende il bersaglio,Ativa/Habilita/Liga o objeto alvo,Activa o enciende al objetivo.,Активирует/Включает/Врубает цель,대상을 활성화/작동/기동,启动/启用/打开目标
HACK_ALLEGIANCE,%_ALLEGNCE$,%_ALLEGEANCE$,%_VERBÜNDETE$,%_ALLEANZA$,%_ALIANÇA$,%_LEALTAD$,%_АЛЬНС$,%_ALLEGNCE$,%_战友$
HACK_ALLEGIANCE_DESC,Target becomes an ally,La cible devient un allié,Ziel wird ein Verbündeter,Il bersaglio diventa alleato,O alvo se torna um aliado,El objetivo se convierte en un aliado.,Цель становится союзником,대상을 아군으로 만듦,目标成为友方
HACK_ATTRACT,%_ATTRACT_$,%_ATTIRE_$,%_ANZIEHEN_$,%_ATTIRA_$,%_ATRAIR_$,%_ATRAER_$,%_ВЛЕЧЕНИЕ_$,%_ATTRACT_$,%_追逐_$
HACK_ATTRACT_DESC,Target becomes attracted to others,La cible est attirée vers les autres,Ziel wird von anderen angezogen,Il bersaglio viene attratto da altri,O alvo é atraído por outros,El objetivo se ve atraído por otros.,Цель начинает притягиваться к остальным,대상이 다른 대상을 추적함,目标受其他敌方吸引
HACK_ATTRACTOR,%_ATTRCTOR$,%_AIMANT$,%_ANZIEHER$,%_ATTRTTRE$,%_ATRATOR$,%_ATRCCION$,%_ПРВЛЕЧЕНИЕ$,%_ATTRCTOR$,%_吸引$
HACK_ATTRACTOR_DESC,Target attracts others towards it,La cible attire les autres vers elle,Ziel zieht andere an,Il bersaglio attrae altri verso di sé,O alvo atrai outros em sua direção,El objetivo atrae a otros.,Цель начинает притягивать к себе,대상이 다른 대상들을 자신에게 끌어당김,目标吸引其他敌方
HACK_BACKWARDS,%_BACKWRDS$,%_ARRIERE$,%_RÜCKWÄRTS$,%_SPALLE$,%_COSTASS$,%_ATRAS$,%_ЗДНПЕРЕД$,%_BACKWRDS$,%_向后$
HACK_BACKWARDS_DESC,Target always faces backwards,La cible fait face à l'arrière,Ziel schaut immer nach hinten,Il bersaglio è sempre girato di spalle,O alvo está sempre de costas,El objetivo siempre mira hacia atrás.,Цель всегда стоит спиной,대상이 항상 뒤를 향함,目标移动的方向与其正面朝向相反。
HACK_BLIND,%_BLIND___$,%_AVEUGLE___$,%_BLIND___$,%_CIECO___$,%_CEGO___$,%_CEGAR___$,%_СЛЕПОТА___$,%_BLIND___$,%_盲目___$
