Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
ANGISHRU_NAME,An Gishru,An Gishru,An Gishru,An Gishru,An Gishru,An Gishru,Ан Гишру,안 기슈루,安吉什鲁
ANGISHRU_DESCRIPTION,Remote Controlled Gishru,Gishru télécommandé,Ferngesteuerter Gishru,Gishru telecomandato,Gishru controlado remotamente,Gishru con control remoto,Радиоуправляемый Гишру,원격 조종이 가능한 기슈루.,可以远程控制吉什鲁
BREACHATTRACTOR_NAME,Breach Attractor,Attracteur de brèche,Bruch-Attraktor,Attrattore di breccia,Atrator de Ruptura,Imán de la Brecha,Притягиватель разломов,브리치 어트랙터,隙界吸引装置
BREACHATTRACTOR_DESCRIPTION,Pulls breach portals towards you.,Tire les portails de brèche vers vous.,Zieht Bruch-Portale zu dir.,Attrae i portali di breccia verso di te.,Puxa portais de ruptura em sua direção.,Atrae portales de la Brecha hacia ti.,Притягивает порталы разломов к вам.,브리치 포털을 자신에게로 끌어당깁니다.,可以将隙界传送门拉过来。
BREACHATTRACTORDRONE_NAME,Breach Attractor,Attracteur de brèche,Bruch-Attraktor,Attrattore di breccia,Atrator de Ruptura,Imán de la Brecha,Притягиватель разломов,브리치 어트랙터,隙界吸引装置
BREACHATTRACTORDRONE_DESCRIPTION,Pulls breach portals towards you.,Tire les portails de brèche vers vous.,Zieht Bruch-Portale zu dir.,Attrae i portali di breccia verso di te.,Puxa portais de ruptura em sua direção.,Atrae portales de la Brecha hacia ti.,Притягивает порталы разломов к вам.,브리치 포털을 자신에게로 끌어당깁니다.,可以将隙界传送门拉过来。
BRONZEAXE_NAME,Bronze Axe,Hache de bronze,Bronze-Axt,Ascia di bronzo,Machado de Bronze,Hacha de bronce,Бронзовая секира,청동 도끼,青铜斧
BRONZEAXE_DESCRIPTION,A weapon from another time.,Une arme d'une autre époque.,Eine Waffe aus einer anderen Zeit.,Un'arma di un'altra epoca.,Uma arma de outro tempo.,Un arma de otro tiempo.,Оружие ушедшей эпохи.,다른 시대에 제작된 무기.,这件武器来自另一个时代。
IRONAXE_NAME,Iron Axe,Hache de fer,Eisen-Axt,Ascia di ferro,Machado de Ferro,Hacha de hierro,Железная секира,철제 도끼,铁斧
IRONAXE_DESCRIPTION,A stronger axe.,Une hache plus puissante.,Eine stärkere Axt.,Un'ascia più potente.,Um machado mais forte.,Un hacha más fuerte.,Секира посильнее.,더 강력한 위력을 가진 도끼.,这种斧子更加坚韧。
DOUBLEAXE_NAME,Double Axe,Double hache,Doppelaxt,Ascia bipenne,Machado Duplo,Hacha doble,Двойная секира,이중날 도끼,双面斧
DOUBLEAXE_DESCRIPTION,Two-handed axe that is slow but powerful.,Une hache à deux mains lente mais meurtrière.,"Zweihändige Axt, die langsam, aber mächtig ist.","Un'ascia a due mani, lenta ma poderosa.","Machado de duas mãos. Lento, mas poderoso.","Hacha de dos manos, lenta pero dañina.","Двуручная секира: медленная, но мощная.",속도는 느려도 강력한 양손 도끼.,双手大斧，挥舞缓慢但是破坏性强。
STEELAXE_NAME,Steel Axe,Hache d'acier,Stahl-Axt,Ascia d'acciaio,Machado de Aço,Hacha de acero,Стальная секира,강철 도끼,钢斧
STEELAXE_DESCRIPTION,The most durable axe available.,La plus durable des haches disponibles.,"Die robusteste Axt, die es gibt.",L'ascia più resistente in circolazione.,O machado mais durável.,El hacha más resistente que existe.,Самая прочная из всех секир.,가장 내구성이 높은 도끼.,这种材质的斧子最为耐用。
GISHRU_NAME,Gishru,Gishru,Gishru,Gishru,Gishru,Gishru,Гишру,기슈루,吉什鲁
GISHRU_DESCRIPTION,"Similar to a boomerang, but glistening with nanomachines.","Semblable à un boomerang, luisant de nanomachines.","Ähnlich wie ein Bumerang, aber mit glitzernden Nanomaschinen.","Simile a un boomerang, ma carico di nanomacchine.","Semelhante a um bumerangue, mas repleto de nanomáquinas.","Como un búmeran, pero lleno de nanomáquinas.","Очень похож на бумеранг, но весь аж блестит от наномашин.",부메랑과 비슷하지만 나노머신으로 빛을 발하는 무기.,与回旋镖相似，不过带有纳米机器，闪闪发光。
EXITDRONE_NAME,Exit Drone,Sortir du drone,Drohne verlassen,Esci dal drone,Finalizar Drone,Abandonar dron,Выйти из дрона,드론 회수,脱离无人机状态
EXITDRONE_DESCRIPTION,Destroys the drone and returns control back to Indra.,Détruit le drone et reprend le contrôle d'Indra.,Zerstört die Drohne und gibt die Kontrolle wieder an Indra zurück.,Distruggi il drone e riprendi il controllo di Indra.,"Destrói o drone, devolvendo o controle para Indra.",Destruye el dron y devuelve el control a Indra.,Уничтожает дрон и возвращает управление к Индре.,드론을 파괴하고 제어권을 인드라에게 되돌립니다.,摧毁无人机，即可继续控制因德拉。
EXITDRONEGATEBROKEN_NAME,Exit Drone,Sortir du drone,Drohne verlassen.,Esci dal drone,Finalizar Drone,Abandonar dron,Выйти из дрона,드론 회수,脱离无人机状态
EXITDRONEGATEBROKEN_DESCRIPTION,Currently not working.,Hors service.,Funktioniert momentan nicht.,Non funzionante al momento.,Atualmente inoperante.,No funciona ahora.,Уничтожает дрон и возвращает управление к Индре.,현재 작동하지 않음.,目前没有使用。
EXITDRONENANO_NAME,Anuman,Anuman,Anuman,Anuman,Anuman,Anuman,Ануман,아누만,阿努曼
EXITDRONENANO_DESCRIPTION,Transform back into a humanoid.,Reprend une forme humanoïde.,Verwandelt dich zurück in einen Humanoiden.,Ti ritrasforma in umanoide.,Transforme-se de volta em humanoide.,Transfórmate de nuevo en humanoide.,Превращает обратно в гуманоида.,다시 인간형으로 변신합니다.,可以变回人形。
ICEAXE_NAME,Ice Axe,Hache de glace,Eispickel,Piccozza,Machado de Gelo,Piqueta,Ледоруб,등산용 도끼,冰镐
ICEAXE_DESCRIPTION,"A climbing tool used by mountaineers. Has a good heft. Could probably use this to break through wood, too.",Un outil d'escalade utilisé par les alpinistes. Supporte une charge importante. Peut sans doute aussi permettre de casser le bois.,"Ein Kletterwerkzeug, das von Bergsteigern benutzt wird. Hat ein gutes Gewicht. Kannst du wahrscheinlich auch zum Durchbrechen von Holz verwenden.",Uno strumento da scalata usato dagli alpinisti. Supporta un buon peso. Probabilmente può essere usato anche per spezzare il legno.,Uma ferramenta de escalada usada por montanhistas. Tem um bom peso. Provavelmente pode quebrar madeira também.,Una herramienta para escalar montañas. Tiene un buen peso. Quizás también sirva para romper madera.,"Инструмент, используемый альпинистами. Увесистый. Им, наверное, можно и дерево пробить.","산악인들이 사용하는 등반용 도구입니다. 묵직한 무게감이 있으며, 목재 기물 등을 격파하는 데도 쓸 수 있습니다.",登山人士常用这种攀登工具，重量刚好，用起来趁手，说不定还能劈木箱。
NANOLATTICE1_NAME,Nano Lattice 1,Nano-mailles 1,Nano-Gitter 1,Nano-Reticolo 1,Nanotreliça 1,Nanoestructura 1,Наносетка 1,나노 격자 1,一级纳米网格
NANOLATTICE1_DESCRIPTION,"Outer nanites form dynamic lattice, reducing damage by 15%","Les nanorobots externes forment des mailles dynamiques, réduisant les dégâts de 15%.",Äußere Naniten bilden ein dynamisches Gitter und reduzieren den Schaden um 15 %.,"I naniti esterni formano reticoli dinamici, riducendo il danno del 15%.",Treliça dinâmica formada por nanites externos que reduz o dano sofrido em 15%,Un grupo de nanobots externos forman un entramado dinámico que reduce el daño un 15%.,"Внешняя подвижная сетка из нанитов, уменьшает урон на 15%.",외부 나노머신들이 견고한 격자 구조를 형성하여 피해를 15% 경감합니다.,外层纳米机器人构成动态网格，令所受伤害减少15%。
NANOLATTICE2_NAME,Nano Lattice 2,Nano-mailles 2,Nano-Gitter 2,Nano-Reticolo 2,Nanotreliça 2,Nanoestructura 2,Наносетка 2,나노 격자 2,二级纳米网格
NANOLATTICE2_DESCRIPTION,"Strengthens nanite bonds, reducing damage by 15%","Renforce les liens des nanorobots, réduisant les dégâts de 15%.","Verstärkt die Nanitenbindungen, reduziert den Schaden um 15 %.","Rinforza i legami dei naniti, riducendo il danno del 15%.","Fortalece o ligamento entre os nanites, reduzindo o dano sofrido em 15%","Refuerza las uniones entre nanobots, lo que reduce el daño un 15%.","Связи нанитов в сетке усилены, уменьшает урон на 15%.",나노머신의 결합을 강화하여 피해를 15% 경감합니다.,提升纳米键结强度，令所受伤害减少15%。
NANOLATTICE3_NAME,Nano Lattice 3,Nano-mailles 3,Nano-Gitter 3,Nano-Reticolo 3,Nanotreliça 3,Nanoestructura 3,Наносетка 3,나노 격자 3,三级纳米网格
NANOLATTICE3_DESCRIPTION,Increasing nanite density reduces damage by 15%,La densité augmentée des nanorobots réduit les dégâts de 15%.,Erhöht die Nanitendichte und reduziert den Schaden um 15 %.,L'aumento di densità dei naniti riduce il danno del 15%.,"Aumenta a densidade dos nanites, reduzindo o dano sofrido em 15%","Aumenta la densidad de los nanobots, lo que reduce el daño un 15%.","Плотность нанитов в сетке увеличена, уменьшает урон на 15%.",나노머신의 밀도를 증가시켜 피해를 15% 경감합니다.,提升纳米密度，令所受伤害减少15%。
SICKLESWORD_NAME,Sickle Sword,Épée faucille.,Sichelschwert,Spada ricurva,Espada-foice,Espada segadora,Хопеш,낫칼,镰状刀
SICKLESWORD_DESCRIPTION,Trades damage for speed.,Moins puissante mais plus rapide.,Tauscht Schaden gegen Geschwindigkeit.,"Meno potente, ma molto più rapida.","Menos dano, mais velocidade.",Sacrifica daño por velocidad.,"Быстрее, но наносит меньше урона.",검을 휘두르는 속도를 살려 적에게 타격을 줍니다.,为了速度牺牲伤害。
IRONSICKLESWORD_NAME,Iron Sickle Sword,Épée faucille en fer,Eisen-Sichelschwert,Spada ricurva in ferro,Espada-foice de Ferro,Espada segadora de hierro,Железный хопеш,철제 낫칼,镰状铁刀
IRONSICKLESWORD_DESCRIPTION,A stronger sickle sword.,Une épée faucille plus puissante.,Ein stärkeres Sichelschwert.,Una spada ricurva più potente.,Uma espada-foice mais forte.,Una espada segadora más fuerte.,Хопеш посильнее.,더 강력한 낫칼.,这种镰状铁刀更加坚韧。
STEELSICKLESWORD_NAME,Steel Sickle Sword,Épée faucille en acier,Stahl-Sichelschwert,Spada ricurva in acciaio,Espada-foice de Aço,Espada segadora de acero,Стальной хопеш,강철 낫칼,镰状钢刀
STEELSICKLESWORD_DESCRIPTION,The most durable sickle sword available.,La plus durable des épées faucilles disponibles.,"Das robusteste Sichelschwert, das es gibt.",La spada ricurva più resistente in circolazione.,A espada-foice mais durável.,La espada segadora más resistente que hay.,Самый прочный из всех хопешей.,현존하는 가장 견고한 낫칼.,这种材质的镰状刀最为耐用。
TETHEREDCHARGE_NAME,Mulusan,Mulusan,Mulusan,Mulusan,Mulusan,Mulusan,Мулусан,물루산,穆鲁桑
TETHEREDCHARGE_DESCRIPTION,A spinning razor emitted by the drone.,Un rasoir pivotant émis par le drone.,"Eine sich drehende Klinge, die von der Drohne ausgestoßen wird.",Una lama rotante emessa dal drone.,Uma lâmina giratória disparada pelo drone.,La cuchilla giratoria que lanza el dron.,"Крутящееся лезвие, выпускаемое дроном.",드론이 사출하는 회전 칼날입니다.,这种旋转刀片由无人机发出。
TETHEREDCHARGE2_NAME,Udusan,Udusan,Udusan,Udusan,Udusan,Udusan,Удусан,우두산,乌杜桑
TETHEREDCHARGE2_DESCRIPTION,A more powerful version of the Mulusan.,Une version plus puissante du Mulusan.,Eine stärkere Version von Mulusan.,Una versione più potente del Mulusan.,Uma versão mais poderosa da Mulusan.,Una versión mejorada de Mulusan.,Более мощная версия Мулусана.,물루산보다 한층 더 강력한 강화 버전입니다.,穆鲁桑的进阶形式，伤害更大。
ULGISHRU_NAME,Ul Gishru,Interface Gishru,Ul Gishru,Interfaccia Gishru,lU Gishru,Ul Gishru,Ул Гишру,울 기슈루,维吉什鲁
