Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
DLG_TITLESCROLL_0,"In the year 2007, a young scientist, Dr. Elizabeth Hammond, revolutionized the world as we know it with the invention of the first ever ""ansible"", or superluminal communicator.
 
Zero latency computing soon became the standard, and Hammond Corp a household name.","En 2007, une jeune scientifique, Dr. Elizabeth Hammond, révolutionna le monde en inventant le tout premier « ansible », ou communicateur supraluminique.
 
 Le traitement de données « zéro latence » devint rapidement la norme, et la marque Hammond Corp s'imposa dans tous les foyers.","Im Jahr 2007 revolutionierte eine junge Wissenschaftlerin, Dr. Elizabeth Hammond, die Welt, wie wir sie kennen, mit der Erfindung des ersten „Ansible“, oder superluminalen Kommunikators.
 
 Latenzfreie Datenverarbeitung wurde bald zum Standard und Hammond Corp wurde zu einem bekannten Namen.","Nell'anno 2007, una giovane scienziata, la dottoressa Elizabeth Hammond, rivoluzionò il mondo che conosciamo con l'invenzione del primissimo ""ansible"", o comunicatore superluminale. 
 
La computazione a latenza zero divenne presto uno standard e la Hammond Corp un brand globale.","No ano de 2007, a jovem cientista Dra. Elizabeth Hammond revolucionou o mundo como o conhecemos, com a invenção do primeiro ""ansible"", ou comunicador superluminal.
  
  A computação de latência zero logo se tornou o padrão, e a Hammond Corp uma referência.","En el año 2007, la Dra. Elizabeth Hammond, una joven científica, revolucionó el mundo para siempre con la invención del primer ""ansible"", un comunicador superlumínico.
  
La computación sin latencia se convirtió rápidamente en la norma, y Hammond Corp., en una prestigiosa empresa líder.","В 2007 году молодая ученая, доктор Элизабет Хаммонд, продвинула человечество на много лет вперед, изобретя так называемый ""ансибль"" или, иначе, сверхсветовой коммуникатор.
 
Вычисление с нулевой задержкой вскоре стало повсеместным стандартом, а название Хаммонд-Корп известно в каждом доме.","２００７年、若き科学者
エリザベス・ハモンド博士が
人類初の超光速通信装置
「アンシブル」を発明し
世界に革新をもたらした。

待機時間ゼロのデータ通信技術は
瞬く間に普及し、ハモンド社の名は
世界中の誰もが知るものとなった。","2007年，年轻科学家伊丽莎白·哈蒙德博士成功研发首款超光速通讯设备“安塞波”，掀起了一场世界性变革。

零延迟计算很快变成了常规的技术手段，哈蒙德集团也成为了家喻户晓的品牌。"
DLG_TITLESCROLL_3,"But in 2053, a bizarre, unexplained tragedy befell Jones Station, Antarctica, when an entire research team helmed by Hammond Corp vanished without a trace.
 
Dr. Hammond was with them. She was never seen again.
 
Without its CEO, her company floundered.","Mais en 2053, une tragédie aussi étrange qu'inexpliquée frappa la Station Jones, en Antarctique : l'équipe entière de chercheurs dirigée par Hammond Corp se volatilisa sans laisser de traces.
 
 Dr. Hammond était parmi eux. On ne l'a plus jamais revue.
 
 Sans sa PDG, la compagnie sombra dans la tourmente.","Doch im Jahr 2053 ereignete sich eine bizarre, unerklärliche Tragödie auf der Jones Station in der Antarktis, als ein ganzes Forschungsteam unter der Leitung der Hammond Corp. spurlos verschwand.
 
 Dr. Hammond war unter ihnen. Sie wurde nie wieder gesehen.
 
 Ohne ihren CEO stand ihre Firma vor dem Aus.","Ma nel 2053, una bizzarra e inspiegabile tragedia colpì la Stazione Jones, in Antartide: l'intero team di ricerca gestito dalla Hammond Corp svanì senza lasciare tracce.
 
Anche la dottoressa Hammond era con loro. Non fu mai più rivista. 
 
Priva del suo CEO, la compagnia iniziò ad annaspare.","Mas em 2053, uma tragédia bizarra e sem explicação caiu sobre a Estação Jones, Antártida, quando uma equipe de pesquisa inteira, liderada pela Hammond Corp, desapareceu sem deixar rastros.

A Dra. Hammond estava entre eles. Ela nunca mais foi vista novamente.

Sem sua CEO, a empresa começou a decair.","Pero en 2053, una tragedia tan terrible como misteriosa golpeó la estación Jones en la Antártida: todo el equipo de investigación de Hammond Corp. desapareció sin dejar rastro.
  
La doctora Hammond estaba con ellos. Nunca se la volvió a ver.
  
Sin su directora ejecutiva, la empresa se derrumbó.","Но в 2053 году странный и необъяснимый случай произошел на Станции Джонса в Антарктиде — без следа пропада целая исследовательская группа под управлением Хаммонд-Корп.

Доктор Хаммонд была с ними. После этого ее больше не видели.

Без управляющей компания постепенно пришла в упадок.","しかし２０５３年、
南極のジョーンズ基地局で
ハモンド社の調査チームが
突然姿を消すという、
原因不明の奇妙な事件が起きた。
 
その中にはハモンド博士も含まれ、
彼女は二度と姿を現さなかった。
 
ＣＥＯ不在となったハモンド社は
経営危機に陥った。","2053年，南极琼斯科考站发生离奇的骇人惨事，哈蒙德集团的整支科考队伍人间蒸发，全员失踪，完全没有留下任何痕迹。
失踪人员包括哈蒙德博士，此后再也没人见过她。

首席执行官缺位，哈蒙德集团发展停滞，寸步难行。"
DLG_TITLESCROLL_1,"Indra Chaudhari, founder and CEO of the Globe 3 conglomerate, seized the opportunity to purchase the majority of Hammond Corp and its subsidiaries, thus eliminating her biggest competitor.
 
The acquisition included Hammond's original Ansible prototype. When Indra powered it up, she received a message:","Indra Chaudhari, fondatrice et PDG du Conglomérat Globe 3, se saisit de l'opportunité pour acheter la majorité d'Hammond Corp et de ses filiales, éliminant ainsi ses plus grands concurrents.
 
 L'acquisition comprenait également le prototype d'ansible original d'Hammond. Lorsqu'Indra l'alluma, elle reçut un message :","Indra Chaudhari, Gründerin und CEO des Globe 3 Konglomerats, ergriff die Gelegenheit, die Mehrheit der Hammond Corp und ihrer Tochtergesellschaften zu kaufen und damit ihren größten Konkurrenten auszuschalten.
 
 Die Übernahme beinhaltete Hammonds ursprünglichen Ansible-Prototyp. Als Indra ihn einschaltete, erhielt sie eine Nachricht:","Indra Chaudhari, fondatrice e CEO della multinazionale Globe 3, sfruttò l'opportunità e acquistò la maggioranza delle azioni della Hammond Corp e delle società controllate, eliminando così dal mercato il suo più grande concorrente. 
 
Tra gli asset inclusi nell'acquisizione, c'era anche il prototipo originale dell'ansible della Hammond. Quando Indra lo attivò, ricevette un messaggio:","Indra Chaudhari, fundadora e CEO do conglomerado Globe, aproveitou a oportunidade para comprar a maior parte da Corporação Hammond e suas subsidiárias, eliminando sua maior concorrente.
  
  Entre essas aquisições estava o Ansible protótipo original da Hammond. Quando Indra o ligou, recebeu a seguinte mensagem:","Indra Chaudhari, fundadora y directora del conglomerado Globe 3, usó la oportunidad para comprar la mayoría de Hammond Corp. y sus subsidiarias, y así deshacerse de su mayor competidor.
  
La adquisición incluía el prototipo del ansible original de Hammond. Cuando Indra lo encendió, recibió un mensaje:","Индра Чаудхари, основательница и управляющая конгломерата Глоуб-3, решила воспользоваться этим шансом и выкупила большую часть Хаммонд-Корп с его дочерними организациями, тем самым уничтожив своего самого крупного соперника.
 
В том числе в сделку входил прототип оригинального Ансибля. Включив его, Индра получает сообщение:","巨大企業グループである
グローブ３の創業者であり
ＣＥＯであるインドラ・チョーダリーは、
この絶好の機会を逃さず、
ハモンド社の株式の大部分と
その子会社の数々を買収し、
最大競合相手の排除に成功した。

買収した会社のほとんどを
閉鎖したが、アンシブルの
オリジナルプロトタイプがある
ハモンドの研究開発室は残した。
このアンシブルをマーケティングに
利用することを考えながら、
インドラはシステムに電源を入れた...

…すると１通のメッセージを受け取った。","环球3集团创始人兼集团首席执行官因德拉·乔杜里趁机收购了哈蒙德集团半数以上的股份及其旗下子公司，因而消灭了她最大的竞争对手。

收购协议包含哈蒙德开发的安塞波原型机，因德拉将其启动之后，收到了一条信息："
DLG_TITLESCROLL_2,"""Come to Antarctica if you wish to see your daughter again.""
 
As it happened, Globe had just inherited Hammond Corp's contract for the defunct Jones Station, Antarctica. What would she find there?","« Venez en Antarctique si vous voulez revoir ta fille. »
 
 Par chance, Globe 3 venait justement d'hériter du contrat d'Hammond Corp avec la Station Jones située en Antarctique, désormais à l'abandon. Qu'allait-elle trouver là-bas ?","„Kommen Sie in die Antarktis, wenn Sie Ihre Tochter wiedersehen wollen.“
 
 Zufälligerweise hatte Globe gerade den Vertrag der Hammond Corp für die stillgelegte Jones Station in der Antarktis übernommen. Was würde sie dort vorfinden?","""Vieni in Antartide se vuoi rivedere viva tua figlia"". 
 
Di fatto, la Globe aveva appena ereditato il contratto della Hammond Corp per la ormai defunta Stazione Jones, in Antartide. Cosa avrebbe trovato lì?","""Venha para Antártida se quiser ver sua filha novamente.""
  
  Quando isso aconteceu, a Globe tinha acabado de herdar o contrato da Corporação Hammond sobre a extinta Estação Jones, Antártida. O que ela encontraria lá?","""Si quieres volver a ver a tu hija, ven a la Antártida"".
  
Estaba claro: Globe acababa de heredar el contrato de Hammond Corp. que llevó a la estación Jones a su fin. ¿Qué encontraría allí?","""Приезжай в Антарктиду, если хочешь снова увидеть свою дочь"".
 
По счастливому стечению обстоятельств, Глоуб-3 только что вступили во владение еще одной собственностью Хаммонд-Корп — недействующей антарктической Станцией Джонса. Что же она там найдет?","”娘と再開したいなら南極に来い”

グローブ３が、機能不全の
南極ジョーンズ基地局を、
ハモンド社から引き継ぐ契約が
ちょうど完了した頃だった。
彼女が南極で目にするものとは...？","“想再见到你女儿，就来南极。”

此时，环球集团恰好刚刚接下哈蒙德集团与南极琼斯科考站（关停）的合作协议。她在那里会发现什么？"
DLG_INTROFLIGHT_8,"The base is just ahead, ma'am. You sure this is legal?","La base est juste devant, madame. Vous êtes sûre que c'est légal ?","Die Basis ist gleich da vorne, Ma’am. Sind Sie sicher, dass das legal ist?","La base è poco più avanti, signora. È sicura che tutto questo sia legale?","A base está logo à frente, senhora. Tem certeza de que isso é legal?","Ya casi estamos en la base, señora. ¿Está segura de que esto es legal?","Мы почти на базе, мэм. Вы уверены, что это законно?","もうすぐ基地です。
合法なのは承知の上でしょうか？",老板，基地快到了，你确定这样不违法吗？
DLG_INTROFLIGHT_6,Probably. Just get us there safely.,Probablement. Occupez-vous de nous y emmener.,Vermutlich. Bring uns einfach sicher hin.,Forse. Tu portaci lì sani e salvi.,Provavelmente. Só nos leve até lá em segurança.,Quizás. Tan solo llévanos allí.,Более чем. Просто доставьте нас туда в целости.,"多分大丈夫よ。
安全に基地に着くことだけ考えて。",应该不违法，把我们安安稳稳地送过去就行。
DLG_INTROFLIGHT_7,"Will do, ma'am. Prepare for landing.","Bien sûr, madame. Préparez-vous à l'atterrissage.","Wird gemacht, Ma’am. Bereitmachen zur Landung.","Lo farò, signora. Prepararsi all'atterraggio.","Entendido, senhora. Prepare-se para pousar.","Entendido, señora. Prepárense para aterrizar.","Будет сделано, мэм. Готовьтесь к приземлению.","承知しました。
着陸準備に入ります。",遵命。准备降落。
DLG_INTROLANDING_0,"Stan, please wait with the chopper while I get the power online.","Stan, attendez avec l'hélico pendant que je remets le courant.","Stan, bitte warte mit dem Hubschrauber, während ich den Strom anschalte.","Stan, aspetta sull'elicottero mentre io riattivo l'alimentazione.","Stan, espere no helicóptero enquanto eu ligo a energia.","Stan, espera en el helicóptero mientras enciendo la energía.","Стэн, пожалуйста, побудь у вертолета, пока я не включу электричество.","スタン、あなたはヘリの中で待機して。
私はまず設備の電源を入れに行く。",斯坦，我去把供电设备打开，你在这里等直升机。
DLG_INTROLANDING_1,This place hasn't been occupied for over a year.,Cet endroit est inoccupé depuis plus d'un an.,Dieser Ort ist seit über einem Jahr nicht mehr bewohnt gewesen.,Qui non mette piede più nessuno da oltre un anno.,Ninguém vem aqui há pelo menos um ano.,Este lugar lleva más de un año inhabitado.,Тут больше года никого не было.,"この場所はもう何年も
放置されたままだから。",这个地方有一年多没人住了。
DLG_INTROLANDING_2,"Will do, Ma'am. Call me when you're ready.","Bien, madame. Appelez-moi quand vous aurez fini.","Wird gemacht, Ma’am. Rufen Sie mich, wenn Sie bereit sind.","Certo, signora. Mi chiami non appena è pronta.","Certo, senhora. Me chame quando estiver pronta.","Entendido, señora. Llámeme cuando esté lista.","Хорошо, мэм. Позвоните, когда все будет готово.","承知しました。
準備ができ次第お呼び下さい。",行。您那边好了，就告诉我。
