Key,English,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Chinese
SKILLCATEGORY_PHYSIOLOGY_NAME,Physiology,Physiologie,Physiologie,Fisiologia,Fisiologia,Fisiología,Физиология,フィジカル,生理
SKILLCATEGORY_PHYSIOLOGY_DESCRIPTION,Upgrade your body and physical attributes.,Améliore vos attributs physiques et corporels.,Verbessere deinen Körper und deine physischen Eigenschaften.,Migliora i tuoi attributi fisici e corporali.,Aprimora seu corpo e atributos físicos.,Mejora tus atributos físicos.,Улучшение вашего тела и физических возможностей.,身体を伴う能力がアップ。,提升你的生理机能与属性。
SKILL_HEALTH_NAME,Health,Santé,Gesundheit,Salute,Saúde,Salud,Здоровье,ライフ,生命
SKILL_HEALTH_DESCRIPTION,Adds an additional 50 health points.,Rajoute 50 points de vie supplémentaires.,Fügt zusätzliche 50 Gesundheitspunkte hinzu.,Aggiunge 50 punti vita supplementari.,Adiciona 50 pontos de saúde.,Agrega 50 puntos de salud adicionales.,Добавляет дополнительные 50 очков здоровья.,５０ライフポイントを追加。,生命额外增加50点。
SKILL_STAMINA_NAME,Stamina,Endurance,Ausdauer,Resistenza,Vigor,Resistencia,Выносливость,スタミナ,体力
SKILL_STAMINA_DESCRIPTION,Adds an additional bar of stamina.,Rajoute une barre d'endurance supplémentaire.,Fügt einen zusätzlichen Balken Ausdauer hinzu.,Aggiunge una barra di resistenza supplementare.,Adiciona outra barra de vigor.,Agrega una barra de resistencia adicional.,Добавляет дополнительное деление выносливости.,スタミナゲージが増加。,额外增加一个体力条。
SKILL_NANOCLOUDSPEED_NAME,Nanite Cloud Speed,Rapidité du nuage de nanorobots,Nanitenwolken-Geschwindigkeit,Velocità della nuvola di naniti,Velocidade da Nuvem de Nanite,Velocidad de nube de nanobots,Скорость облака нанитов,ナノ・クラウドのスピード,纳米云态速度
SKILL_NANOCLOUDSPEED_DESCRIPTION,Increases the speed you move in nanite cloud form.,Augmente votre vitesse de déplacement sous forme de nuage de nanorobots.,"Erhöht die Geschwindigkeit, mit der du dich in der Nanitenwolkenform bewegst.",Aumenta la velocità di movimento quando sei in forma di nuvola di naniti.,Aumenta a velocidade de movimento na forma de nuvem de nanite.,Aumenta tu velocidad en forma de nube de nanobots.,Увеличивает вашу скорость передвижения в виде облака нанитов,ナノ・クラウド状態の移動速度がアップ。,你的纳米云状态移动速度提升。
,,,,,,,,,
SKILLCATEGORY_COMBAT_NAME,Combat,Combat,Kampf,Combattimento,Combate,Combate,Боевые качества,コンバット,战斗
